Timestamp,Container,CPU_Perc,Host_CPU_Perc,Mem_Usage,Mem_Limit,Mem_Perc,Host_Mem_Usage,Host_Mem_Total,Host_Mem_Perc,Net_Input,Net_Output,Block_Input,Block_Output,GPU_Count,GPU_Util_Max,GPU_Mem_Used,GPU_Mem_Total,GPU_Mem_Perc
2026-05-20 19:07:13.368,vllm-server,88.02%,2.83%,448.7MiB,1007GiB,0.04%,13.38GiB,1007GiB,1.33%,1.234kB,534B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:13.538,vllm-server,100.70%,2.94%,454.9MiB,1007GiB,0.04%,13.38GiB,1007GiB,1.33%,1.234kB,534B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:13.711,vllm-server,122.68%,2.80%,466.7MiB,1007GiB,0.05%,13.37GiB,1007GiB,1.33%,1.303kB,534B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:13.925,vllm-server,91.86%,3.15%,468.9MiB,1007GiB,0.05%,13.36GiB,1007GiB,1.33%,1.375kB,588B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:14.124,vllm-server,100.05%,3.16%,472MiB,1007GiB,0.05%,13.38GiB,1007GiB,1.33%,1.375kB,588B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:14.321,vllm-server,109.62%,3.97%,476.9MiB,1007GiB,0.05%,13.39GiB,1007GiB,1.33%,1.375kB,588B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:14.537,vllm-server,90.20%,2.68%,477.2MiB,1007GiB,0.05%,13.39GiB,1007GiB,1.33%,1.375kB,588B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:14.735,vllm-server,89.05%,2.62%,480.7MiB,1007GiB,0.05%,13.39GiB,1007GiB,1.33%,1.375kB,588B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:14.912,vllm-server,126.46%,3.18%,487.3MiB,1007GiB,0.05%,13.38GiB,1007GiB,1.33%,1.447kB,642B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:15.130,vllm-server,96.99%,3.15%,500MiB,1007GiB,0.05%,13.4GiB,1007GiB,1.33%,1.447kB,642B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:15.342,vllm-server,102.17%,2.67%,501.3MiB,1007GiB,0.05%,13.39GiB,1007GiB,1.33%,1.447kB,642B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:15.560,vllm-server,89.45%,2.72%,508.9MiB,1007GiB,0.05%,13.38GiB,1007GiB,1.33%,1.447kB,642B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:15.752,vllm-server,89.34%,3.08%,513.8MiB,1007GiB,0.05%,13.4GiB,1007GiB,1.33%,1.447kB,642B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:15.927,vllm-server,100.79%,3.04%,519.8MiB,1007GiB,0.05%,13.4GiB,1007GiB,1.33%,1.52kB,696B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:16.110,vllm-server,124.47%,3.10%,531.3MiB,1007GiB,0.05%,13.39GiB,1007GiB,1.33%,1.52kB,696B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:16.331,vllm-server,1665.25%,12.61%,549.7MiB,1007GiB,0.05%,13.42GiB,1007GiB,1.33%,1.52kB,696B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 19:07:16.524,vllm-server,98.85%,19.79%,555.1MiB,1007GiB,0.05%,13.41GiB,1007GiB,1.33%,1.52kB,696B,0B,0B,1,0.00%,0B,80GiB,0.00%
