Timestamp,Container,CPU_Perc,Host_CPU_Perc,Mem_Usage,Mem_Limit,Mem_Perc,Host_Mem_Usage,Host_Mem_Total,Host_Mem_Perc,Net_Input,Net_Output,Block_Input,Block_Output,GPU_Count,GPU_Util_Max,GPU_Mem_Used,GPU_Mem_Total,GPU_Mem_Perc
2026-05-20 14:39:15.656,vllm-server,92.11%,2.64%,445MiB,1007GiB,0.04%,13.23GiB,1007GiB,1.31%,1.533kB,534B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:15.853,vllm-server,99.22%,2.86%,448.2MiB,1007GiB,0.04%,13.23GiB,1007GiB,1.31%,1.533kB,534B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:16.051,vllm-server,100.61%,6.48%,450.4MiB,1007GiB,0.04%,13.22GiB,1007GiB,1.31%,1.602kB,534B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:16.250,vllm-server,88.91%,3.48%,456MiB,1007GiB,0.04%,13.22GiB,1007GiB,1.31%,1.602kB,534B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:16.428,vllm-server,111.87%,2.80%,465.5MiB,1007GiB,0.05%,13.21GiB,1007GiB,1.31%,1.602kB,534B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:16.625,vllm-server,99.44%,2.47%,470.4MiB,1007GiB,0.05%,13.22GiB,1007GiB,1.31%,1.674kB,588B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:16.824,vllm-server,100.58%,3.16%,473.6MiB,1007GiB,0.05%,13.22GiB,1007GiB,1.31%,1.674kB,588B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:17.022,vllm-server,111.36%,2.85%,478.3MiB,1007GiB,0.05%,13.21GiB,1007GiB,1.31%,1.674kB,588B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:17.241,vllm-server,100.06%,3.49%,479.1MiB,1007GiB,0.05%,13.22GiB,1007GiB,1.31%,1.674kB,588B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:17.456,vllm-server,88.87%,3.28%,482.9MiB,1007GiB,0.05%,13.22GiB,1007GiB,1.31%,1.674kB,588B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:17.652,vllm-server,98.23%,2.57%,487.8MiB,1007GiB,0.05%,13.24GiB,1007GiB,1.31%,1.674kB,588B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:17.848,vllm-server,91.75%,3.50%,501.5MiB,1007GiB,0.05%,13.26GiB,1007GiB,1.32%,1.746kB,642B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:18.026,vllm-server,125.62%,3.33%,503.6MiB,1007GiB,0.05%,13.26GiB,1007GiB,1.32%,1.746kB,642B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:18.249,vllm-server,87.99%,2.46%,509.8MiB,1007GiB,0.05%,13.26GiB,1007GiB,1.32%,1.746kB,642B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:18.448,vllm-server,90.23%,2.60%,514.6MiB,1007GiB,0.05%,13.25GiB,1007GiB,1.32%,1.746kB,642B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:18.628,vllm-server,119.81%,2.88%,526.9MiB,1007GiB,0.05%,13.26GiB,1007GiB,1.32%,1.746kB,642B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:18.842,vllm-server,91.53%,2.93%,533.5MiB,1007GiB,0.05%,13.26GiB,1007GiB,1.32%,1.818kB,696B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:19.040,vllm-server,1829.81%,11.58%,552.7MiB,1007GiB,0.05%,13.29GiB,1007GiB,1.32%,1.818kB,696B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:19.225,vllm-server,115.89%,22.67%,557.1MiB,1007GiB,0.05%,13.32GiB,1007GiB,1.32%,1.818kB,696B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:19.401,vllm-server,124.56%,3.10%,563MiB,1007GiB,0.05%,13.32GiB,1007GiB,1.32%,1.818kB,696B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:19.622,vllm-server,81.75%,3.05%,563.8MiB,1007GiB,0.05%,13.31GiB,1007GiB,1.32%,1.818kB,696B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:19.797,vllm-server,111.27%,4.28%,568.2MiB,1007GiB,0.06%,13.32GiB,1007GiB,1.32%,1.891kB,750B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:19.994,vllm-server,89.30%,3.64%,577.4MiB,1007GiB,0.06%,13.33GiB,1007GiB,1.32%,1.891kB,750B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:20.168,vllm-server,111.04%,2.69%,586.5MiB,1007GiB,0.06%,13.33GiB,1007GiB,1.32%,1.891kB,750B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:20.365,vllm-server,100.79%,2.63%,593.2MiB,1007GiB,0.06%,13.35GiB,1007GiB,1.32%,1.891kB,750B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:20.564,vllm-server,87.37%,2.44%,594.9MiB,1007GiB,0.06%,13.35GiB,1007GiB,1.33%,1.891kB,750B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:20.765,vllm-server,97.77%,2.66%,603.2MiB,1007GiB,0.06%,13.34GiB,1007GiB,1.32%,1.891kB,750B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:20.961,vllm-server,101.42%,3.65%,610.2MiB,1007GiB,0.06%,13.34GiB,1007GiB,1.32%,1.963kB,804B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:21.158,vllm-server,101.52%,2.63%,619.6MiB,1007GiB,0.06%,13.34GiB,1007GiB,1.32%,1.963kB,804B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:21.349,vllm-server,87.83%,2.87%,627.3MiB,1007GiB,0.06%,13.34GiB,1007GiB,1.32%,1.963kB,804B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:21.528,vllm-server,111.52%,2.80%,633.3MiB,1007GiB,0.06%,13.34GiB,1007GiB,1.32%,1.963kB,804B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:21.734,vllm-server,100.98%,2.82%,633.7MiB,1007GiB,0.06%,13.34GiB,1007GiB,1.32%,1.963kB,804B,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:21.937,vllm-server,20.86%,2.24%,634.1MiB,1007GiB,0.06%,13.35GiB,1007GiB,1.32%,9.731kB,3.331kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:22.133,vllm-server,3.67%,1.20%,634.5MiB,1007GiB,0.06%,13.34GiB,1007GiB,1.32%,20.41kB,5.928kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:22.333,vllm-server,6.06%,1.41%,634.8MiB,1007GiB,0.06%,13.35GiB,1007GiB,1.33%,29.54kB,6.901kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:22.550,vllm-server,38.82%,1.80%,713.6MiB,1007GiB,0.07%,13.35GiB,1007GiB,1.33%,32.33kB,7.414kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:22.746,vllm-server,111.87%,2.72%,830.7MiB,1007GiB,0.08%,13.48GiB,1007GiB,1.34%,32.33kB,7.414kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:23.028,vllm-server,1929.07%,31.89%,868.5MiB,1007GiB,0.08%,13.56GiB,1007GiB,1.35%,32.4kB,7.467kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:23.224,vllm-server,101.83%,2.94%,889.7MiB,1007GiB,0.09%,13.58GiB,1007GiB,1.35%,32.4kB,7.467kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:23.419,vllm-server,90.40%,2.81%,898.6MiB,1007GiB,0.09%,13.6GiB,1007GiB,1.35%,32.4kB,7.467kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:23.591,vllm-server,108.99%,2.82%,915.4MiB,1007GiB,0.09%,13.62GiB,1007GiB,1.35%,32.4kB,7.467kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:23.783,vllm-server,100.71%,2.87%,937.9MiB,1007GiB,0.09%,13.66GiB,1007GiB,1.36%,32.4kB,7.467kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:23.979,vllm-server,109.75%,2.85%,958.6MiB,1007GiB,0.09%,13.7GiB,1007GiB,1.36%,32.47kB,7.52kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:24.192,vllm-server,90.37%,3.09%,966.4MiB,1007GiB,0.09%,13.71GiB,1007GiB,1.36%,32.54kB,7.52kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:24.384,vllm-server,89.42%,2.85%,979.9MiB,1007GiB,0.09%,13.73GiB,1007GiB,1.36%,32.54kB,7.52kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:24.557,vllm-server,81.92%,2.89%,1007MiB,1007GiB,0.10%,13.74GiB,1007GiB,1.36%,32.54kB,7.52kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:24.754,vllm-server,87.48%,2.64%,1011MiB,1007GiB,0.10%,13.74GiB,1007GiB,1.36%,32.54kB,7.52kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:24.925,vllm-server,111.93%,3.54%,1015MiB,1007GiB,0.10%,13.75GiB,1007GiB,1.37%,32.54kB,7.52kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:25.117,vllm-server,91.84%,4.16%,1013MiB,1007GiB,0.10%,13.74GiB,1007GiB,1.36%,32.62kB,7.572kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:25.292,vllm-server,99.85%,2.85%,1017MiB,1007GiB,0.10%,13.75GiB,1007GiB,1.36%,32.62kB,7.572kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:25.469,vllm-server,110.88%,2.85%,1019MiB,1007GiB,0.10%,13.74GiB,1007GiB,1.36%,32.62kB,7.572kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:25.667,vllm-server,98.49%,2.68%,1022MiB,1007GiB,0.10%,13.74GiB,1007GiB,1.36%,32.62kB,7.572kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:25.857,vllm-server,101.32%,2.57%,1.011GiB,1007GiB,0.10%,13.75GiB,1007GiB,1.36%,32.62kB,7.572kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:26.054,vllm-server,110.02%,3.33%,1.022GiB,1007GiB,0.10%,13.75GiB,1007GiB,1.36%,32.69kB,7.625kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:26.268,vllm-server,89.24%,2.92%,1.041GiB,1007GiB,0.10%,13.77GiB,1007GiB,1.37%,32.69kB,7.625kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:26.458,vllm-server,2787.43%,34.22%,1.063GiB,1007GiB,0.11%,13.8GiB,1007GiB,1.37%,32.69kB,7.625kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:26.653,vllm-server,90.57%,13.04%,1.066GiB,1007GiB,0.11%,13.81GiB,1007GiB,1.37%,32.69kB,7.625kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:26.828,vllm-server,100.16%,2.86%,1.071GiB,1007GiB,0.11%,13.81GiB,1007GiB,1.37%,32.69kB,7.625kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:27.006,vllm-server,98.90%,2.81%,1.078GiB,1007GiB,0.11%,13.83GiB,1007GiB,1.37%,32.69kB,7.625kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:27.181,vllm-server,97.75%,3.31%,1.089GiB,1007GiB,0.11%,13.84GiB,1007GiB,1.37%,32.76kB,7.678kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:27.357,vllm-server,97.70%,3.02%,1.099GiB,1007GiB,0.11%,13.85GiB,1007GiB,1.37%,32.76kB,7.678kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:27.532,vllm-server,113.80%,2.87%,1.106GiB,1007GiB,0.11%,13.86GiB,1007GiB,1.38%,32.76kB,7.678kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:27.731,vllm-server,98.86%,3.86%,1.11GiB,1007GiB,0.11%,13.86GiB,1007GiB,1.38%,32.76kB,7.678kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:27.928,vllm-server,99.05%,2.86%,1.115GiB,1007GiB,0.11%,13.85GiB,1007GiB,1.37%,32.76kB,7.678kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:28.129,vllm-server,99.66%,3.34%,1.123GiB,1007GiB,0.11%,13.85GiB,1007GiB,1.37%,32.83kB,7.73kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:28.324,vllm-server,100.20%,3.21%,1.142GiB,1007GiB,0.11%,13.85GiB,1007GiB,1.38%,32.83kB,7.73kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:28.521,vllm-server,101.37%,2.85%,1.147GiB,1007GiB,0.11%,13.87GiB,1007GiB,1.38%,32.83kB,7.73kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:28.717,vllm-server,100.02%,2.64%,1.149GiB,1007GiB,0.11%,13.89GiB,1007GiB,1.38%,32.83kB,7.73kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:28.916,vllm-server,98.51%,2.90%,1.15GiB,1007GiB,0.11%,13.89GiB,1007GiB,1.38%,32.83kB,7.73kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:29.111,vllm-server,100.39%,2.57%,1.155GiB,1007GiB,0.11%,13.9GiB,1007GiB,1.38%,32.9kB,7.783kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:29.308,vllm-server,111.81%,3.34%,1.157GiB,1007GiB,0.11%,13.91GiB,1007GiB,1.38%,32.9kB,7.783kB,0B,0B,1,0.00%,0B,80GiB,0.00%
2026-05-20 14:39:29.522,vllm-server,91.34%,2.64%,1.161GiB,1007GiB,0.12%,13.91GiB,1007GiB,1.38%,32.9kB,7.783kB,0B,0B,1,0.00%,0B,80GiB,0.00%
